Age,price_age,selling_price,km_driven,owner
4,643706.7143,285000,90000,First Owner
4,643706.7143,900000,80000,First Owner
6,518887.0548,2500000,79500,Second Owner
7,441215.578,620000,70000,Second Owner
2,823822.0285,1700000,5000,First Owner
2,823822.0285,650000,15000,First Owner
6,518887.0548,500000,35000,First Owner
11,242653.8077,250000,120000,Second Owner
2,823822.0285,950000,15000,Second Owner
5,507648.5144,320000,60000,First Owner
4,643706.7143,350000,90000,First Owner
5,507648.5144,400000,90000,First Owner
11,242653.8077,250000,72000,Second Owner
9,298903.3151,550000,197000,Second Owner
21,76428.57143,85000,70000,Second Owner
19,110666.6,52000,50000,Third Owner
3,736892.2615,1200000,50000,First Owner
9,298903.3151,450000,60000,Third Owner
2,823822.0285,615000,40000,First Owner
8,383616.7757,400000,60000,Second Owner
7,441215.578,60000,40000,First Owner
3,736892.2615,500000,9161,First Owner
5,507648.5144,600000,45000,First Owner
10,278209.7113,110000,110000,First Owner
7,441215.578,175000,80000,First Owner
9,298903.3151,325000,100000,Second Owner
3,736892.2615,425000,90000,First Owner
11,242653.8077,160000,70000,Third Owner
13,165466.0097,100000,80000,Third Owner
6,518887.0548,390000,110000,Second Owner
3,736892.2615,400000,50000,First Owner
2,823822.0285,509999,5000,First Owner
12,179747.4918,150000,90000,Third Owner
11,242653.8077,110000,120000,First Owner
7,441215.578,450000,80000,First Owner
3,736892.2615,400000,38000,Second Owner
11,242653.8077,140000,120000,First Owner
9,298903.3151,130000,90000,First Owner
3,736892.2615,160000,50000,First Owner
4,643706.7143,150000,60000,First Owner
7,441215.578,500000,100000,Second Owner
9,298903.3151,40000,19000,First Owner
14,153494.2184,140000,200000,Third Owner
5,507648.5144,227000,70000,Second Owner
9,298903.3151,285000,50000,Second Owner
8,383616.7757,155000,19077,Second Owner
4,643706.7143,210000,30000,First Owner
11,242653.8077,140000,80000,Second Owner
5,507648.5144,940000,128000,First Owner
7,441215.578,750000,80000,First Owner
4,643706.7143,610000,100000,First Owner
5,507648.5144,450000,50000,First Owner
8,383616.7757,409999,56000,First Owner
2,823822.0285,100000,21302,First Owner
2,823822.0285,300000,10500,First Owner
7,441215.578,400000,107000,First Owner
10,278209.7113,210000,60000,Second Owner
14,153494.2184,90000,120000,Second Owner
10,278209.7113,222000,70000,First Owner
5,507648.5144,240000,50000,Second Owner
7,441215.578,450000,70000,Second Owner
8,383616.7757,735000,55300,First Owner
8,383616.7757,285000,74300,First Owner
10,278209.7113,350000,48781,First Owner
10,278209.7113,290000,87620,First Owner
3,736892.2615,890000,40219,First Owner
9,298903.3151,385000,11473,First Owner
3,736892.2615,425000,8352,First Owner
3,736892.2615,525000,9745,First Owner
3,736892.2615,550000,9748,First Owner
8,383616.7757,271000,49000,First Owner
2,823822.0285,1490000,20694,First Owner
5,507648.5144,490000,31080,First Owner
6,518887.0548,260000,37605,First Owner
6,518887.0548,455000,55850,First Owner
10,278209.7113,75000,58850,First Owner
5,507648.5144,421000,23839,First Owner
4,643706.7143,550000,54000,First Owner
7,441215.578,330000,38000,First Owner
8,383616.7757,390000,45454,First Owner
5,507648.5144,599000,46957,First Owner
4,643706.7143,250000,25000,First Owner
12,179747.4918,280000,190000,Second Owner
2,823822.0285,2700000,25000,First Owner
12,179747.4918,80000,90000,First Owner
1,870222.1961,350000,5000,First Owner
5,507648.5144,475000,60000,First Owner
0,779843.75,4700000,1500,First Owner
2,823822.0285,500000,50000,First Owner
6,518887.0548,250000,120000,First Owner
15,114381.1897,100000,120000,Second Owner
6,518887.0548,4000000,47000,First Owner
3,736892.2615,1900000,20000,First Owner
15,114381.1897,95000,120000,Second Owner
5,507648.5144,409999,58000,First Owner
2,823822.0285,1050000,35000,First Owner
3,736892.2615,320000,30000,First Owner
1,870222.1961,1000000,10000,First Owner
3,736892.2615,1770000,25000,First Owner
2,823822.0285,950000,20000,First Owner
2,823822.0285,750000,50000,First Owner
6,518887.0548,220000,42000,First Owner
3,736892.2615,1000000,50000,First Owner
3,736892.2615,660000,116000,First Owner
5,507648.5144,716000,100000,First Owner
5,507648.5144,675000,66000,First Owner
10,278209.7113,385000,110000,Third Owner
6,518887.0548,325000,70000,First Owner
5,507648.5144,950000,60000,First Owner
6,518887.0548,250000,25000,First Owner
2,823822.0285,4000000,68000,First Owner
6,518887.0548,210000,20000,First Owner
9,298903.3151,147000,110000,Second Owner
2,823822.0285,725000,26350,First Owner
8,383616.7757,550000,90000,First Owner
4,643706.7143,475000,25000,First Owner
6,518887.0548,250000,50000,Second Owner
14,153494.2184,70000,60000,Second Owner
8,383616.7757,160000,70000,Third Owner
9,298903.3151,1000000,90000,Second Owner
19,110666.6,68000,70000,First Owner
3,736892.2615,500000,26500,First Owner
0,779843.75,1050000,10000,First Owner
3,736892.2615,900000,50000,First Owner
13,165466.0097,100000,52000,Second Owner
7,441215.578,300000,90000,First Owner
9,298903.3151,140000,60000,Second Owner
2,823822.0285,550000,35000,First Owner
8,383616.7757,650000,71042,First Owner
8,383616.7757,1025000,167870,Second Owner
9,298903.3151,195000,133564,First Owner
7,441215.578,1490000,40000,First Owner
9,298903.3151,95000,70000,First Owner
3,736892.2615,3050000,30000,First Owner
7,441215.578,280000,52000,First Owner
5,507648.5144,300000,90000,First Owner
5,507648.5144,375000,70000,First Owner
9,298903.3151,375000,190000,Third Owner
4,643706.7143,1950000,106000,First Owner
8,383616.7757,400000,80000,Second Owner
6,518887.0548,550000,80000,Second Owner
2,823822.0285,270000,20000,First Owner
8,383616.7757,555000,110000,Second Owner
7,441215.578,500000,60000,Second Owner
10,278209.7113,400000,130000,Second Owner
3,736892.2615,280000,28838,First Owner
12,179747.4918,80000,200000,First Owner
14,153494.2184,55000,100000,First Owner
6,518887.0548,250000,50000,First Owner
13,165466.0097,95000,100000,Second Owner
6,518887.0548,725000,135000,Second Owner
5,507648.5144,320000,50000,Third Owner
6,518887.0548,1200000,135000,Third Owner
8,383616.7757,160000,50000,First Owner
2,823822.0285,790000,19571,First Owner
2,823822.0285,1200000,29600,First Owner
9,298903.3151,175000,70000,First Owner
2,823822.0285,950000,15000,First Owner
1,870222.1961,340000,50000,First Owner
3,736892.2615,825000,13500,First Owner
2,823822.0285,3100000,22000,First Owner
2,823822.0285,780000,25000,First Owner
10,278209.7113,350000,80000,Third Owner
2,823822.0285,690000,39000,First Owner
4,643706.7143,245000,60000,First Owner
2,823822.0285,790000,49000,First Owner
2,823822.0285,680000,48600,First Owner
3,736892.2615,540000,20000,Second Owner
4,643706.7143,425000,25000,First Owner
12,179747.4918,140000,120000,First Owner
1,870222.1961,1100000,30000,First Owner
5,507648.5144,715000,35000,First Owner
5,507648.5144,1750000,127643,First Owner
2,823822.0285,400000,54000,Second Owner
6,518887.0548,1750000,102354,First Owner
6,518887.0548,1850000,62237,First Owner
15,114381.1897,114999,90000,Second Owner
2,823822.0285,950000,21394,First Owner
5,507648.5144,310000,32686,First Owner
14,153494.2184,575000,1001,First Owner
3,736892.2615,490000,22000,First Owner
3,736892.2615,480000,53261,First Owner
4,643706.7143,3500000,53000,First Owner
2,823822.0285,370000,10000,First Owner
3,736892.2615,835000,14000,First Owner
3,736892.2615,650000,44000,First Owner
6,518887.0548,670000,39895,First Owner
3,736892.2615,950000,73000,First Owner
6,518887.0548,690000,17000,First Owner
3,736892.2615,670000,18591,First Owner
3,736892.2615,925000,26766,First Owner
5,507648.5144,250000,30000,First Owner
4,643706.7143,509999,42000,First Owner
6,518887.0548,520000,110000,First Owner
15,114381.1897,100000,100000,First Owner
14,153494.2184,85000,300000,Second Owner
11,242653.8077,130000,110000,Third Owner
2,823822.0285,950000,27620,First Owner
5,507648.5144,450000,70000,First Owner
8,383616.7757,320000,50000,Second Owner
5,507648.5144,480000,50000,First Owner
6,518887.0548,2490000,46000,First Owner
8,383616.7757,790000,82000,First Owner
4,643706.7143,120000,120000,First Owner
14,153494.2184,75000,80000,Third Owner
10,278209.7113,99000,70000,First Owner
2,823822.0285,1015000,20000,First Owner
7,441215.578,250000,200000,Second Owner
9,298903.3151,520000,120000,First Owner
2,823822.0285,1100000,30000,First Owner
15,114381.1897,200000,223000,First Owner
4,643706.7143,525000,60000,First Owner
4,643706.7143,500000,40000,First Owner
4,643706.7143,675000,161327,First Owner
11,242653.8077,150000,60000,Third Owner
13,165466.0097,250000,50000,First Owner
2,823822.0285,450000,6000,First Owner
11,242653.8077,150000,68000,Second Owner
8,383616.7757,200000,85000,First Owner
9,298903.3151,525000,70000,First Owner
21,76428.57143,60000,35000,Second Owner
10,278209.7113,180000,100000,Second Owner
5,507648.5144,475000,110000,First Owner
10,278209.7113,380000,195000,Second Owner
5,507648.5144,285000,46000,Second Owner
12,179747.4918,91200,60000,Second Owner
5,507648.5144,400000,42000,First Owner
14,153494.2184,160000,90000,Second Owner
8,383616.7757,650000,85000,Second Owner
8,383616.7757,409999,120000,Third Owner
7,441215.578,425000,72000,First Owner
7,441215.578,250000,71000,Second Owner
3,736892.2615,260000,30000,First Owner
13,165466.0097,155000,65000,First Owner
5,507648.5144,450000,38000,First Owner
8,383616.7757,220000,90000,Second Owner
2,823822.0285,650000,37000,First Owner
2,823822.0285,285000,30000,First Owner
2,823822.0285,725000,26000,First Owner
4,643706.7143,625000,30000,First Owner
4,643706.7143,550000,23000,First Owner
8,383616.7757,240000,40000,First Owner
6,518887.0548,600000,27000,First Owner
8,383616.7757,350000,65000,First Owner
5,507648.5144,245000,32000,First Owner
4,643706.7143,600000,56000,First Owner
3,736892.2615,2400000,30000,First Owner
6,518887.0548,620000,80000,First Owner
6,518887.0548,395000,52000,Second Owner
6,518887.0548,635000,13250,First Owner
9,298903.3151,180000,36000,First Owner
5,507648.5144,484999,73000,Second Owner
16,125530.303,110000,60000,First Owner
14,153494.2184,150000,60000,Second Owner
8,383616.7757,400000,110000,First Owner
8,383616.7757,200000,70000,Second Owner
7,441215.578,302000,60000,Second Owner
16,125530.303,155000,80000,Second Owner
6,518887.0548,1000000,101000,Second Owner
2,823822.0285,550000,44000,First Owner
14,153494.2184,200000,45000,First Owner
3,736892.2615,750000,120000,First Owner
15,114381.1897,90000,90000,Second Owner
13,165466.0097,80000,120000,Second Owner
7,441215.578,229999,13500,First Owner
3,736892.2615,350000,10000,First Owner
5,507648.5144,325000,25000,Third Owner
2,823822.0285,450000,8500,First Owner
8,383616.7757,250000,120000,First Owner
8,383616.7757,225000,120000,First Owner
11,242653.8077,150000,90246,Third Owner
10,278209.7113,150000,40000,Second Owner
3,736892.2615,610000,32000,Second Owner
7,441215.578,170000,60400,First Owner
12,179747.4918,150000,70950,Second Owner
5,507648.5144,375000,72000,First Owner
7,441215.578,390000,90000,First Owner
3,736892.2615,600000,10000,First Owner
6,518887.0548,204999,25000,Second Owner
11,242653.8077,270000,80000,Second Owner
3,736892.2615,375000,10000,First Owner
0,779843.75,700000,1100,First Owner
3,736892.2615,455000,40000,First Owner
6,518887.0548,341000,31491,First Owner
6,518887.0548,200000,107143,Second Owner
3,736892.2615,450000,15000,First Owner
8,383616.7757,170000,50000,Second Owner
3,736892.2615,1900000,100000,First Owner
4,643706.7143,500000,60000,First Owner
4,643706.7143,819999,85000,First Owner
6,518887.0548,351000,40000,Second Owner
9,298903.3151,195000,80000,Second Owner
12,179747.4918,250000,82000,Second Owner
12,179747.4918,120000,70000,Second Owner
11,242653.8077,180000,70000,Third Owner
4,643706.7143,430000,20000,First Owner
8,383616.7757,75000,35000,Second Owner
3,736892.2615,750000,80000,First Owner
9,298903.3151,60000,40000,First Owner
5,507648.5144,1500000,46412,First Owner
4,643706.7143,630000,50000,First Owner
2,823822.0285,1085000,15000,First Owner
8,383616.7757,190000,60000,Second Owner
2,823822.0285,550000,25000,First Owner
8,383616.7757,200000,90000,Third Owner
9,298903.3151,165000,60000,First Owner
7,441215.578,260000,65000,First Owner
9,298903.3151,151000,40000,First Owner
2,823822.0285,780000,50000,First Owner
8,383616.7757,175000,80000,Third Owner
10,278209.7113,170000,107500,First Owner
7,441215.578,210000,135000,Second Owner
13,165466.0097,90000,43826,Second Owner
4,643706.7143,535000,55838,First Owner
13,165466.0097,195000,112880,First Owner
9,298903.3151,140000,90000,Third Owner
8,383616.7757,350000,40000,First Owner
7,441215.578,425000,66000,First Owner
3,736892.2615,300000,30300,First Owner
7,441215.578,340000,85000,Second Owner
11,242653.8077,250000,80659,First Owner
12,179747.4918,170000,81324,First Owner
7,441215.578,315000,127884,First Owner
5,507648.5144,200000,50000,First Owner
4,643706.7143,300000,25000,First Owner
5,507648.5144,300000,66755,First Owner
7,441215.578,380000,123084,First Owner
11,242653.8077,250000,806599,First Owner
7,441215.578,310000,95851,First Owner
10,278209.7113,260000,50000,First Owner
12,179747.4918,150000,50000,Second Owner
14,153494.2184,85000,60000,Second Owner
5,507648.5144,280000,15000,Second Owner
4,643706.7143,850000,40000,First Owner
3,736892.2615,375000,20000,Second Owner
14,153494.2184,125000,120000,Third Owner
8,383616.7757,250000,110000,First Owner
6,518887.0548,715000,234000,First Owner
9,298903.3151,220000,70000,First Owner
10,278209.7113,110000,110000,Second Owner
13,165466.0097,150000,84000,Second Owner
8,383616.7757,300000,170000,First Owner
3,736892.2615,220000,40000,First Owner
14,153494.2184,75000,96000,Second Owner
11,242653.8077,100000,20000,First Owner
4,643706.7143,380000,15000,First Owner
13,165466.0097,100000,50000,First Owner
10,278209.7113,480000,80000,Second Owner
8,383616.7757,300000,124000,First Owner
7,441215.578,190000,70000,First Owner
8,383616.7757,190000,130000,Second Owner
3,736892.2615,650000,19014,First Owner
11,242653.8077,300000,23262,First Owner
4,643706.7143,700000,29600,First Owner
5,507648.5144,310000,35925,First Owner
2,823822.0285,500000,12000,First Owner
7,441215.578,415000,40771,First Owner
5,507648.5144,395000,30500,Second Owner
6,518887.0548,430000,42000,Second Owner
13,165466.0097,215000,55800,Second Owner
6,518887.0548,550000,66569,First Owner
6,518887.0548,415000,81358,First Owner
5,507648.5144,450000,82695,First Owner
6,518887.0548,285000,68293,Second Owner
4,643706.7143,580000,32000,First Owner
6,518887.0548,300000,190621,First Owner
2,823822.0285,1200000,60000,First Owner
14,153494.2184,78000,64700,First Owner
4,643706.7143,400000,88470,First Owner
4,643706.7143,850000,75000,First Owner
7,441215.578,450000,120000,Second Owner
8,383616.7757,2500000,35000,First Owner
3,736892.2615,780000,70000,First Owner
3,736892.2615,3200000,57000,First Owner
0,779843.75,350000,1000,First Owner
7,441215.578,285000,120000,Second Owner
5,507648.5144,525000,98000,First Owner
6,518887.0548,550000,90000,Second Owner
2,823822.0285,580000,70000,First Owner
7,441215.578,75000,25000,Third Owner
11,242653.8077,185000,60000,Third Owner
16,125530.303,180000,200000,Second Owner
10,278209.7113,350000,110000,Second Owner
15,114381.1897,60000,126000,Second Owner
2,823822.0285,695000,70000,First Owner
1,870222.1961,2700000,5000,First Owner
13,165466.0097,135000,74183,Second Owner
5,507648.5144,640000,70000,Second Owner
6,518887.0548,160000,90000,First Owner
16,125530.303,80000,46000,Second Owner
7,441215.578,340000,110000,Second Owner
8,383616.7757,110000,80000,Second Owner
7,441215.578,250000,90000,Second Owner
3,736892.2615,1300000,70000,First Owner
6,518887.0548,250000,1,Second Owner
11,242653.8077,450000,192000,First Owner
13,165466.0097,225000,120000,Second Owner
5,507648.5144,275000,60000,Second Owner
8,383616.7757,320000,120000,Second Owner
12,179747.4918,75000,120000,First Owner
13,165466.0097,85000,50000,Second Owner
11,242653.8077,90000,120000,First Owner
13,165466.0097,85000,80000,Second Owner
12,179747.4918,350000,80000,Second Owner
11,242653.8077,355000,100000,Second Owner
0,779843.75,619000,1500,First Owner
2,823822.0285,1700000,50000,First Owner
14,153494.2184,55000,100000,Second Owner
14,153494.2184,95000,83411,First Owner
9,298903.3151,300000,120000,Second Owner
14,153494.2184,81000,83411,First Owner
5,507648.5144,1000000,80000,Second Owner
1,870222.1961,925000,50000,First Owner
5,507648.5144,450000,40000,First Owner
6,518887.0548,600000,13270,First Owner
14,153494.2184,85000,100000,Third Owner
4,643706.7143,700000,50000,First Owner
3,736892.2615,486000,26500,First Owner
7,441215.578,400000,90000,First Owner
2,823822.0285,275000,35000,First Owner
4,643706.7143,580000,57000,First Owner
5,507648.5144,229999,100000,Third Owner
10,278209.7113,110000,88000,Second Owner
3,736892.2615,600000,60000,First Owner
11,242653.8077,120000,76000,Second Owner
10,278209.7113,200000,100000,Second Owner
8,383616.7757,450000,110000,Second Owner
8,383616.7757,550000,80000,Second Owner
8,383616.7757,220000,80000,Second Owner
19,110666.6,40000,30000,First Owner
3,736892.2615,300000,20000,First Owner
2,823822.0285,630000,40000,First Owner
3,736892.2615,610000,40000,Second Owner
1,870222.1961,660000,7000,Second Owner
9,298903.3151,138000,90000,Second Owner
7,441215.578,210000,13770,First Owner
15,114381.1897,125000,34000,First Owner
12,179747.4918,125000,102000,First Owner
6,518887.0548,725000,110000,First Owner
9,298903.3151,170000,90000,Second Owner
5,507648.5144,1200000,70000,Third Owner
17,78315.78947,70000,90000,Second Owner
13,165466.0097,100000,70000,Second Owner
14,153494.2184,300000,80000,Second Owner
7,441215.578,450000,100000,Second Owner
5,507648.5144,530000,100000,First Owner
13,165466.0097,100000,143000,Third Owner
10,278209.7113,350000,115000,Second Owner
9,298903.3151,165000,100000,Second Owner
1,870222.1961,475000,120000,Second Owner
7,441215.578,350000,42000,First Owner
4,643706.7143,229999,38000,First Owner
6,518887.0548,475000,120000,Second Owner
6,518887.0548,425000,136906,First Owner
5,507648.5144,660000,97000,Second Owner
1,870222.1961,610000,10000,First Owner
7,441215.578,240000,50000,Third Owner
15,114381.1897,70000,60000,Second Owner
9,298903.3151,550000,120000,First Owner
10,278209.7113,100000,120000,Second Owner
10,278209.7113,350000,90000,Second Owner
7,441215.578,200000,120000,First Owner
1,870222.1961,720000,3000,First Owner
6,518887.0548,350000,133000,First Owner
4,643706.7143,400000,25000,First Owner
3,736892.2615,570000,35000,First Owner
5,507648.5144,130000,70000,First Owner
4,643706.7143,210000,52000,First Owner
2,823822.0285,800000,52000,First Owner
3,736892.2615,700000,39000,First Owner
9,298903.3151,200000,28689,First Owner
6,518887.0548,495000,90000,Second Owner
6,518887.0548,325000,80322,First Owner
1,870222.1961,650000,8000,First Owner
20,76300,155000,50000,Second Owner
13,165466.0097,75000,90000,Second Owner
5,507648.5144,350000,61658,First Owner
10,278209.7113,90000,50000,Third Owner
4,643706.7143,600000,80000,First Owner
10,278209.7113,400000,185000,First Owner
6,518887.0548,370000,57000,Second Owner
20,76300,50000,60000,First Owner
16,125530.303,125000,120000,Second Owner
2,823822.0285,1800000,26000,First Owner
1,870222.1961,650000,20000,First Owner
3,736892.2615,800000,30600,First Owner
0,779843.75,802000,5000,First Owner
5,507648.5144,2300000,35000,Third Owner
4,643706.7143,430000,35000,First Owner
3,736892.2615,650000,23000,First Owner
16,125530.303,170000,120000,First Owner
9,298903.3151,450000,235000,First Owner
7,441215.578,250000,87000,First Owner
6,518887.0548,550000,72000,Second Owner
7,441215.578,2000000,64000,Second Owner
13,165466.0097,140000,100000,Second Owner
8,383616.7757,155000,12000,First Owner
10,278209.7113,120000,67000,Third Owner
8,383616.7757,287000,70000,First Owner
4,643706.7143,675000,60000,First Owner
9,298903.3151,235000,74500,Second Owner
9,298903.3151,300000,118700,Second Owner
5,507648.5144,434999,40000,Second Owner
16,125530.303,225000,223660,Third Owner
14,153494.2184,160000,140000,Second Owner
0,779843.75,600000,5000,First Owner
4,643706.7143,470000,100000,Second Owner
9,298903.3151,300000,100000,Second Owner
2,823822.0285,600000,2000,First Owner
0,779843.75,640000,4000,First Owner
5,507648.5144,600000,35000,First Owner
5,507648.5144,600000,30000,First Owner
8,383616.7757,190000,120000,First Owner
12,179747.4918,160000,110000,Third Owner
3,736892.2615,325000,15000,First Owner
14,153494.2184,200000,73756,First Owner
2,823822.0285,2800000,40000,First Owner
9,298903.3151,125000,60000,Third Owner
5,507648.5144,550000,90000,First Owner
18,88571.42857,80000,70000,Second Owner
5,507648.5144,500000,80000,Second Owner
1,870222.1961,250000,27000,First Owner
8,383616.7757,580000,70000,First Owner
18,88571.42857,60000,50000,First Owner
8,383616.7757,300000,185000,First Owner
6,518887.0548,200000,90000,Second Owner
3,736892.2615,1200000,16400,First Owner
5,507648.5144,350000,80000,Second Owner
8,383616.7757,600000,80000,Second Owner
1,870222.1961,650000,4000,First Owner
12,179747.4918,120000,40000,First Owner
10,278209.7113,180000,120000,Second Owner
2,823822.0285,950000,41395,First Owner
8,383616.7757,250999,35000,Second Owner
11,242653.8077,1250000,47000,Second Owner
7,441215.578,165000,50000,First Owner
5,507648.5144,700000,48000,First Owner
5,507648.5144,750000,53000,First Owner
2,823822.0285,290000,15000,First Owner
6,518887.0548,45000,7000,Second Owner
7,441215.578,675000,88000,First Owner
5,507648.5144,530000,55000,First Owner
6,518887.0548,1485000,48000,First Owner
6,518887.0548,325000,71014,First Owner
5,507648.5144,400000,60000,First Owner
3,736892.2615,380000,71000,First Owner
4,643706.7143,750000,45000,First Owner
3,736892.2615,390000,45000,First Owner
1,870222.1961,1825000,14000,First Owner
1,870222.1961,3256000,17000,First Owner
5,507648.5144,370000,60000,First Owner
7,441215.578,210000,80000,Second Owner
8,383616.7757,575000,89550,Second Owner
10,278209.7113,320000,90000,Third Owner
10,278209.7113,280000,149500,Third Owner
7,441215.578,500000,190000,Second Owner
7,441215.578,380000,83000,First Owner
15,114381.1897,120000,20000,Second Owner
2,823822.0285,395000,20000,First Owner
10,278209.7113,360000,160000,First Owner
5,507648.5144,451000,100000,First Owner
10,278209.7113,175000,45000,Second Owner
11,242653.8077,170000,44800,Second Owner
14,153494.2184,100000,40000,Second Owner
6,518887.0548,150000,120000,Third Owner
9,298903.3151,149000,10000,Second Owner
9,298903.3151,160000,80000,Second Owner
6,518887.0548,800000,156000,First Owner
10,278209.7113,819999,120000,Second Owner
13,165466.0097,163000,100000,Second Owner
19,110666.6,350000,100000,Second Owner
14,153494.2184,75000,100000,Second Owner
8,383616.7757,180000,60000,Second Owner
3,736892.2615,675000,30000,First Owner
7,441215.578,400000,170000,First Owner
7,441215.578,434999,100000,Second Owner
14,153494.2184,100000,110000,Second Owner
5,507648.5144,419000,170000,Second Owner
11,242653.8077,200000,100000,First Owner
6,518887.0548,400000,35000,First Owner
2,823822.0285,790000,40000,Second Owner
5,507648.5144,500000,90000,Second Owner
8,383616.7757,275000,120000,Second Owner
8,383616.7757,450000,120000,Second Owner
4,643706.7143,360000,33000,First Owner
10,278209.7113,210000,25000,First Owner
6,518887.0548,220000,66000,First Owner
11,242653.8077,250000,48000,First Owner
4,643706.7143,990000,146000,First Owner
8,383616.7757,1800000,50000,Second Owner
6,518887.0548,530000,50000,First Owner
4,643706.7143,575000,50000,First Owner
8,383616.7757,400000,99000,First Owner
4,643706.7143,680000,50000,First Owner
6,518887.0548,1000000,80000,First Owner
4,643706.7143,260000,45000,Second Owner
10,278209.7113,150000,50000,Second Owner
12,179747.4918,180000,70000,Third Owner
6,518887.0548,346000,37516,First Owner
5,507648.5144,450000,20000,First Owner
1,870222.1961,500000,5000,First Owner
1,870222.1961,700000,8000,First Owner
1,870222.1961,280000,25880,First Owner
1,870222.1961,475000,10000,First Owner
11,242653.8077,300000,50000,First Owner
6,518887.0548,200999,40000,First Owner
11,242653.8077,200000,100000,Third Owner
11,242653.8077,210000,80000,Second Owner
8,383616.7757,160000,110000,First Owner
11,242653.8077,175000,136000,Second Owner
8,383616.7757,320000,80000,First Owner
11,242653.8077,110000,50000,Second Owner
12,179747.4918,300000,30000,First Owner
8,383616.7757,700000,10000,First Owner
5,507648.5144,500000,110000,First Owner
8,383616.7757,550000,120000,Second Owner
6,518887.0548,1050000,90000,Third Owner
4,643706.7143,500000,20000,First Owner
9,298903.3151,180000,90000,Second Owner
10,278209.7113,170000,50000,Second Owner
1,870222.1961,484999,9000,First Owner
9,298903.3151,150000,70000,Second Owner
2,823822.0285,380000,25000,First Owner
1,870222.1961,480000,10000,First Owner
9,298903.3151,290000,60000,Second Owner
7,441215.578,350000,70000,First Owner
6,518887.0548,110000,25000,First Owner
17,78315.78947,70000,80000,Third Owner
9,298903.3151,300000,70000,Third Owner
3,736892.2615,180000,60000,First Owner
0,779843.75,300000,20000,First Owner
3,736892.2615,509000,60000,First Owner
4,643706.7143,650000,80000,First Owner
5,507648.5144,450000,70000,Third Owner
21,76428.57143,170000,2020,Second Owner
13,165466.0097,210000,100000,Second Owner
7,441215.578,360000,80000,Second Owner
9,298903.3151,495000,120000,Second Owner
14,153494.2184,105000,100000,Third Owner
10,278209.7113,270000,60000,Third Owner
10,278209.7113,130000,110000,First Owner
6,518887.0548,700000,90000,Second Owner
8,383616.7757,400000,40000,First Owner
11,242653.8077,250000,60000,Second Owner
7,441215.578,325000,94000,Second Owner
12,179747.4918,69000,100000,First Owner
2,823822.0285,1380000,25000,First Owner
13,165466.0097,90000,90000,First Owner
4,643706.7143,1000000,40000,First Owner
10,278209.7113,145000,90000,Second Owner
9,298903.3151,256000,70000,Third Owner
15,114381.1897,70000,120000,First Owner
4,643706.7143,240000,70000,Second Owner
10,278209.7113,97000,128000,First Owner
8,383616.7757,130000,120000,First Owner
11,242653.8077,199000,52536,First Owner
14,153494.2184,125000,70000,First Owner
5,507648.5144,420000,60000,First Owner
4,643706.7143,525000,110000,First Owner
12,179747.4918,125000,85000,First Owner
10,278209.7113,325000,135000,First Owner
10,278209.7113,110000,50000,First Owner
1,870222.1961,450000,1950,First Owner
15,114381.1897,85000,118400,First Owner
13,165466.0097,229999,70000,Second Owner
8,383616.7757,250000,60000,Second Owner
5,507648.5144,650000,68000,First Owner
13,165466.0097,75000,54000,First Owner
8,383616.7757,215000,97000,First Owner
11,242653.8077,130000,120000,Second Owner
1,870222.1961,400000,16000,First Owner
1,870222.1961,550000,60000,First Owner
4,643706.7143,245000,52000,First Owner
4,643706.7143,730000,60000,Second Owner
15,114381.1897,120000,100000,Third Owner
3,736892.2615,950000,35000,First Owner
3,736892.2615,350000,48000,Third Owner
15,114381.1897,100000,20000,Second Owner
3,736892.2615,350000,30000,First Owner
7,441215.578,370000,60000,First Owner
8,383616.7757,160000,70000,Second Owner
11,242653.8077,130000,120000,First Owner
4,643706.7143,250000,30000,First Owner
8,383616.7757,270000,80000,Second Owner
1,870222.1961,2600000,9500,First Owner
7,441215.578,160000,80000,First Owner
4,643706.7143,229999,80000,First Owner
3,736892.2615,750000,29000,First Owner
9,298903.3151,195000,120000,First Owner
4,643706.7143,270000,22000,First Owner
8,383616.7757,300000,50000,First Owner
8,383616.7757,200000,50000,First Owner
13,165466.0097,120000,81366,First Owner
14,153494.2184,95000,110000,First Owner
14,153494.2184,229999,300000,First Owner
8,383616.7757,300000,90000,First Owner
4,643706.7143,200000,53000,Second Owner
3,736892.2615,250000,30000,First Owner
8,383616.7757,368000,90000,Second Owner
6,518887.0548,650000,244000,First Owner
23,93000,150000,120000,Third Owner
3,736892.2615,525000,15000,First Owner
15,114381.1897,350000,150000,Second Owner
2,823822.0285,850000,30000,Second Owner
9,298903.3151,350000,312000,Third Owner
15,114381.1897,160000,67000,First Owner
3,736892.2615,500000,40000,First Owner
12,179747.4918,130000,100000,First Owner
5,507648.5144,350000,100000,Second Owner
15,114381.1897,70000,80000,First Owner
6,518887.0548,750000,145000,Second Owner
7,441215.578,450000,53000,First Owner
5,507648.5144,430000,73000,Third Owner
9,298903.3151,260000,90000,Third Owner
7,441215.578,370000,80000,Third Owner
9,298903.3151,229999,100000,First Owner
7,441215.578,700000,200000,First Owner
0,779843.75,545000,7300,First Owner
3,736892.2615,200000,30000,First Owner
5,507648.5144,500000,120000,First Owner
12,179747.4918,70000,90000,Second Owner
7,441215.578,580000,25000,Third Owner
8,383616.7757,160000,70000,Second Owner
